file,dataset,avg_time_ms
atax_base_const.cu,MINI,123.0619
atax_base_const.cu,SMALL,166.2256
atax_base_const.cu,STANDARD,91.1373
atax_base_const.cu,LARGE,141.5690
atax_base_const.cu,EXTRALARGE,118.9854
atax_base_pinned.cu,MINI,106.6144
atax_base_pinned.cu,SMALL,93.6898
atax_base_pinned.cu,STANDARD,95.2420
atax_base_pinned.cu,LARGE,171.4731
atax_base_pinned.cu,EXTRALARGE,135.0885
atax_base_streams.cu,MINI,190.2302
atax_base_streams.cu,SMALL,200.1122
atax_base_streams.cu,STANDARD,174.7375
atax_base_streams.cu,LARGE,229.2308
atax_base_streams.cu,EXTRALARGE,196.3371
atax_base_uvm.cu,MINI,389.3592
atax_base_uvm.cu,SMALL,396.6082
atax_base_uvm.cu,STANDARD,480.0208
atax_base_uvm.cu,LARGE,293.9991
atax_base_uvm.cu,EXTRALARGE,471.7846
atax_base.cu,MINI,149.3405
atax_base.cu,SMALL,135.0419
atax_base.cu,STANDARD,129.5906
atax_base.cu,LARGE,104.8439
atax_base.cu,EXTRALARGE,141.7080
atax_opt_const.cu,MINI,282.0229
atax_opt_const.cu,SMALL,139.3430
atax_opt_const.cu,STANDARD,166.6639
atax_opt_const.cu,LARGE,246.5515
atax_opt_const.cu,EXTRALARGE,165.3629
atax_opt_pinned.cu,MINI,51.6721
atax_opt_pinned.cu,SMALL,76.9636
atax_opt_pinned.cu,STANDARD,54.7445
atax_opt_pinned.cu,LARGE,39.1838
atax_opt_pinned.cu,EXTRALARGE,96.7173
atax_opt_streams.cu,MINI,169.5364
atax_opt_streams.cu,SMALL,213.0975
atax_opt_streams.cu,STANDARD,249.1292
atax_opt_streams.cu,LARGE,139.6900
atax_opt_streams.cu,EXTRALARGE,143.0948
atax_opt_uvm.cu,MINI,114.3279
atax_opt_uvm.cu,SMALL,121.7469
atax_opt_uvm.cu,STANDARD,127.4414
atax_opt_uvm.cu,LARGE,112.3659
atax_opt_uvm.cu,EXTRALARGE,127.2913
atax_opt_tiling.cu,MINI,57.2751
atax_opt_tiling.cu,SMALL,99.1580
atax_opt_tiling.cu,STANDARD,69.9295
atax_opt_tiling.cu,LARGE,76.4866
atax_opt_tiling.cu,EXTRALARGE,74.8795
atax_opt_trasposta.cu,MINI,173.6880
atax_opt_trasposta.cu,SMALL,325.1220
atax_opt_trasposta.cu,STANDARD,120.3492
atax_opt_trasposta.cu,LARGE,176.7267
atax_opt_trasposta.cu,EXTRALARGE,212.7822
