file,dataset,avg_time_ms
atax_base_const.cu,MINI,90.8417
atax_base_const.cu,SMALL,63.4699
atax_base_const.cu,STANDARD,149.2407
atax_base_const.cu,LARGE,95.3830
atax_base_const.cu,EXTRALARGE,132.6567
atax_base_pinned.cu,MINI,141.9326
atax_base_pinned.cu,SMALL,132.6530
atax_base_pinned.cu,STANDARD,161.1480
atax_base_pinned.cu,LARGE,87.1743
atax_base_pinned.cu,EXTRALARGE,85.5336
atax_base_streams.cu,MINI,194.6373
atax_base_streams.cu,SMALL,205.7016
atax_base_streams.cu,STANDARD,91.5496
atax_base_streams.cu,LARGE,124.7218
atax_base_streams.cu,EXTRALARGE,116.1997
atax_base_uvm.cu,MINI,373.6438
atax_base_uvm.cu,SMALL,285.4442
atax_base_uvm.cu,STANDARD,267.3054
atax_base_uvm.cu,LARGE,268.4832
atax_base_uvm.cu,EXTRALARGE,554.1287
atax_opt_const.cu,MINI,171.6857
atax_opt_const.cu,SMALL,95.9717
atax_opt_const.cu,STANDARD,64.0909
atax_opt_const.cu,LARGE,95.3969
atax_opt_const.cu,EXTRALARGE,146.7720
atax_opt_pinned.cu,MINI,43.7325
atax_opt_pinned.cu,SMALL,65.1628
atax_opt_pinned.cu,STANDARD,55.1819
atax_opt_pinned.cu,LARGE,56.3805
atax_opt_pinned.cu,EXTRALARGE,88.8229
atax_opt_streams.cu,MINI,94.2295
atax_opt_streams.cu,SMALL,190.7472
atax_opt_streams.cu,STANDARD,95.5320
atax_opt_streams.cu,LARGE,159.6517
atax_opt_streams.cu,EXTRALARGE,154.8992
atax_opt_tiling.cu,MINI,111.6244
atax_opt_tiling.cu,SMALL,57.4952
atax_opt_tiling.cu,STANDARD,77.8096
atax_opt_tiling.cu,LARGE,74.8369
atax_opt_tiling.cu,EXTRALARGE,111.5330
atax_opt_trasposta.cu,MINI,234.6690
atax_opt_trasposta.cu,SMALL,84.7450
atax_opt_trasposta.cu,STANDARD,138.5547
atax_opt_trasposta.cu,LARGE,129.8165
atax_opt_trasposta.cu,EXTRALARGE,162.9876
atax_opt_uvm.cu,MINI,114.8006
atax_opt_uvm.cu,SMALL,110.9215
atax_opt_uvm.cu,STANDARD,114.6181
atax_opt_uvm.cu,LARGE,127.5986
atax_opt_uvm.cu,EXTRALARGE,86.2324
