Kernel,Dataset,Time(s)
SEQUENTIAL,MINI_DATASET,0.000007
SEQUENTIAL,SMALL_DATASET,0.001288
SEQUENTIAL,STANDARD_DATASET,0.083876
SEQUENTIAL,LARGE_DATASET,0.353388
SEQUENTIAL,EXTRALARGE_DATASET,2.673881
PARALLEL,MINI_DATASET,0.000013
PARALLEL,SMALL_DATASET,0.000970
PARALLEL,STANDARD_DATASET,0.151760
PARALLEL,LARGE_DATASET,0.653922
PARALLEL,EXTRALARGE_DATASET,14.579228
PARALLEL_NORACE,MINI_DATASET,0.000014
PARALLEL_NORACE,SMALL_DATASET,0.000581
PARALLEL_NORACE,STANDARD_DATASET,0.044872
PARALLEL_NORACE,LARGE_DATASET,0.185744
PARALLEL_NORACE,EXTRALARGE_DATASET,1.311217
REDUCTION,MINI_DATASET,0.000015
REDUCTION,SMALL_DATASET,0.001056
REDUCTION,STANDARD_DATASET,0.148092
REDUCTION,LARGE_DATASET,0.676387
REDUCTION,EXTRALARGE_DATASET,14.498705
COLLAPSE,MINI_DATASET,0.000014
COLLAPSE,SMALL_DATASET,0.001036
COLLAPSE,STANDARD_DATASET,0.153204
COLLAPSE,LARGE_DATASET,0.686068
COLLAPSE,EXTRALARGE_DATASET,14.590038
OPTIMIZED,MINI_DATASET,0.000010
OPTIMIZED,SMALL_DATASET,0.000637
OPTIMIZED,STANDARD_DATASET,0.044973
OPTIMIZED,LARGE_DATASET,0.184109
OPTIMIZED,EXTRALARGE_DATASET,1.320981
OPTIMIZED_TILING,MINI_DATASET,0.000010
OPTIMIZED_TILING,SMALL_DATASET,0.000589
OPTIMIZED_TILING,STANDARD_DATASET,0.044245
OPTIMIZED_TILING,LARGE_DATASET,0.183687
OPTIMIZED_TILING,EXTRALARGE_DATASET,1.322864
TARGET,MINI_DATASET,0.003008
TARGET,SMALL_DATASET,0.002592
TARGET,STANDARD_DATASET,0.150949
TARGET,LARGE_DATASET,0.677256
TARGET,EXTRALARGE_DATASET,14.456025

Kernel,Average_Time(s)
COLLAPSE,3.08607
OPTIMIZED,0.310142
OPTIMIZED_TILING,0.310279
PARALLEL,3.07718
PARALLEL_NORACE,0.308486
REDUCTION,3.06485
SEQUENTIAL,0.622488
TARGET,3.05797
