Kernel,Dataset,Time(s)
SEQUENTIAL,MINI_DATASET,0.000008
SEQUENTIAL,SMALL_DATASET,0.001351
SEQUENTIAL,STANDARD_DATASET,0.086709
SEQUENTIAL,LARGE_DATASET,0.364674
SEQUENTIAL,EXTRALARGE_DATASET,4.145155
PARALLEL,MINI_DATASET,0.000022
PARALLEL,SMALL_DATASET,0.001002
PARALLEL,STANDARD_DATASET,0.148744
PARALLEL,LARGE_DATASET,0.665046
PARALLEL,EXTRALARGE_DATASET,15.652434
PARALLEL_NORACE,MINI_DATASET,0.000038
PARALLEL_NORACE,SMALL_DATASET,0.000612
PARALLEL_NORACE,STANDARD_DATASET,0.046246
PARALLEL_NORACE,LARGE_DATASET,0.189185
PARALLEL_NORACE,EXTRALARGE_DATASET,1.341802
REDUCTION,MINI_DATASET,0.000034
REDUCTION,SMALL_DATASET,0.001048
REDUCTION,STANDARD_DATASET,0.156554
REDUCTION,LARGE_DATASET,0.681050
REDUCTION,EXTRALARGE_DATASET,15.014650
COLLAPSE,MINI_DATASET,0.000036
COLLAPSE,SMALL_DATASET,0.001640
COLLAPSE,STANDARD_DATASET,0.166662
COLLAPSE,LARGE_DATASET,0.821626
COLLAPSE,EXTRALARGE_DATASET,15.857279
OPTIMIZED,MINI_DATASET,0.000024
OPTIMIZED,SMALL_DATASET,0.000721
OPTIMIZED,STANDARD_DATASET,0.053299
OPTIMIZED,LARGE_DATASET,0.311014
OPTIMIZED,EXTRALARGE_DATASET,2.116359
OPTIMIZED_TILING,MINI_DATASET,0.000027
OPTIMIZED_TILING,SMALL_DATASET,0.000569
OPTIMIZED_TILING,STANDARD_DATASET,0.039885
OPTIMIZED_TILING,LARGE_DATASET,0.168987
OPTIMIZED_TILING,EXTRALARGE_DATASET,1.254907
TARGET,MINI_DATASET,0.240814
TARGET,SMALL_DATASET,0.149300
TARGET,STANDARD_DATASET,0.355475
TARGET,LARGE_DATASET,1.032939
TARGET,EXTRALARGE_DATASET,

Kernel,Average_Time(s)
COLLAPSE,3.36945
OPTIMIZED,0.496283
OPTIMIZED_TILING,0.292875
PARALLEL,3.29345
PARALLEL_NORACE,0.315577
REDUCTION,3.17067
SEQUENTIAL,0.919579
TARGET,0.355706

